GET 	 / 	 undefined 	 7/30/2023, 9:35:30 PM 
GET 	 /favicon.ico 	 undefined 	 8/2/2023, 12:07:22 PM 
GET 	 /posts/Someone 	 undefined 	 8/2/2023, 12:07:25 PM 
GET 	 /64c78fd27195f7f8e22dac0e 	 undefined 	 8/2/2023, 12:37:59 PM 
GET 	 /favicon.ico 	 undefined 	 8/2/2023, 12:37:59 PM 
GET 	 /post/64c78fd27195f7f8e22dac0e 	 undefined 	 8/2/2023, 12:38:09 PM 
GET 	 /favicon.ico 	 undefined 	 8/2/2023, 12:38:09 PM 
GET 	 /posts/64c78fd27195f7f8e22dac0e 	 undefined 	 8/2/2023, 12:38:16 PM 
GET 	 /favicon.ico 	 undefined 	 8/2/2023, 12:38:17 PM 
POST 	 /posts 	 http://localhost:3500 	 8/2/2023, 12:38:38 PM 
POST 	 /posts/64c78fd27195f7f8e22dac0e/addComment 	 http://localhost:3500 	 8/2/2023, 12:41:12 PM 
POST 	 /posts/addComment/64c78fd27195f7f8e22dac0e 	 http://localhost:3500 	 8/2/2023, 12:42:08 PM 
PATCH 	 /posts/addComment/64c78fd27195f7f8e22dac0e 	 http://localhost:3500 	 8/2/2023, 12:43:19 PM 
PATCH 	 /posts/addComment/64c78fd27195f7f8e22dac0e 	 http://localhost:3500 	 8/2/2023, 12:43:47 PM 
PATCH 	 /posts/addComment/64c78fd27195f7f8e22dac0e 	 http://localhost:3500 	 8/2/2023, 12:44:06 PM 
PATCH 	 /posts/addComment/64c78fd27195f7f8e22dac0e 	 http://localhost:3500 	 8/2/2023, 12:50:04 PM 
PATCH 	 /posts/64c78fd27195f7f8e22dac0e/addComment 	 http://localhost:3500 	 8/2/2023, 12:50:24 PM 
PATCH 	 /posts/64c78fd27195f7f8e22dac0e/addComment 	 http://localhost:3500 	 8/2/2023, 1:06:09 PM 
PATCH 	 /posts/64c78fd27195f7f8e22dac0e/deleteComment 	 http://localhost:3500 	 8/2/2023, 1:07:30 PM 
POST 	 /user/createUser 	 http://localhost:3500 	 8/2/2023, 7:04:14 PM 
POST 	 /user/createUser 	 http://localhost:3500 	 8/2/2023, 7:05:03 PM 
GET 	 /user/$2b$12$114zTagLYTgRkAwrPF4gCe09yOqe6vGdRJI1ir6Rjikses0mzkliS 	 undefined 	 8/2/2023, 7:44:47 PM 
GET 	 /user/$2b$12$114zTagLYTgRkAwrPF4gCe09yOqe6vGdRJI1ir6Rjikses0mzkliS 	 undefined 	 8/2/2023, 7:45:33 PM 
GET 	 /user/$2b$12$114zTagLYTgRkAwrPF4gCe09yOqe6vGdRJI1ir6Rjikses0mzkliS 	 undefined 	 8/2/2023, 7:46:10 PM 
GET 	 /user/$2b$12$114zTagLYTgRkAwrPF4gCe09yOqe6vGdRJI1ir6Rjikses0mzkliS 	 undefined 	 8/2/2023, 7:46:57 PM 
GET 	 /user/$2b$12$114zTagLYTgRkAwrPF4gCe09yOqe6vGdRJI1ir6Rjikses0mzkliS 	 undefined 	 8/2/2023, 7:47:46 PM 
GET 	 /user/$2b$12$114zTagLYTgRkAwrPF4gCe09yOqe6vGdRJI1ir6Rjikses0mzkliS 	 undefined 	 8/2/2023, 7:48:08 PM 
GET 	 /user/$2b$12$114zTagLYTgRkAwrPF4gCe09yOqe6vGdRJI1ir6Rjikses0mzkliS 	 undefined 	 8/2/2023, 7:49:22 PM 
GET 	 /user/64ca38608a27dc9f4fef3578 	 undefined 	 8/2/2023, 7:51:02 PM 
POST 	 /user/createUser 	 http://localhost:3500 	 8/2/2023, 8:36:09 PM 
POST 	 /register 	 http://localhost:3500 	 8/2/2023, 8:36:27 PM 
GET 	 /post/64c78fd27195f7f8e22dac0e 	 undefined 	 8/2/2023, 8:37:28 PM 
GET 	 /favicon.ico 	 undefined 	 8/2/2023, 8:37:28 PM 
GET 	 /64c78fd27195f7f8e22dac0e 	 undefined 	 8/2/2023, 8:37:30 PM 
GET 	 /favicon.ico 	 undefined 	 8/2/2023, 8:37:30 PM 
GET 	 /favicon.ico 	 undefined 	 8/2/2023, 8:37:31 PM 
GET 	 /favicon.ico 	 undefined 	 8/2/2023, 8:37:33 PM 
GET 	 /favicon.ico 	 undefined 	 8/2/2023, 8:37:35 PM 
GET 	 /favicon.ico 	 undefined 	 8/2/2023, 8:37:36 PM 
GET 	 /favicon.ico 	 undefined 	 8/2/2023, 8:38:06 PM 
GET 	 /favicon.ico 	 undefined 	 8/2/2023, 8:38:07 PM 
GET 	 /posts/64c78fd27195f7f8e22dac0e 	 undefined 	 8/2/2023, 8:38:51 PM 
GET 	 /posts/64c78fd27195f7f8e22dac0e 	 undefined 	 8/2/2023, 8:42:04 PM 
GET 	 /posts/64c78fd27195f7f8e22dac0e 	 undefined 	 8/2/2023, 8:42:06 PM 
GET 	 /posts/64c78fd27195f7f8e22dac0e 	 undefined 	 8/2/2023, 8:42:07 PM 
GET 	 /posts/64c78fd27195f7f8e22dac0e 	 undefined 	 8/2/2023, 8:50:08 PM 
POST 	 /register 	 undefined 	 8/4/2023, 2:34:12 PM 
POST 	 /register 	 undefined 	 8/4/2023, 2:34:47 PM 
POST 	 /register 	 undefined 	 8/4/2023, 2:35:11 PM 
POST 	 /register 	 undefined 	 8/4/2023, 2:35:28 PM 
POST 	 /register 	 undefined 	 8/4/2023, 2:35:52 PM 
POST 	 /register 	 undefined 	 8/4/2023, 2:36:38 PM 
POST 	 /register 	 undefined 	 8/4/2023, 2:37:28 PM 
POST 	 /register 	 undefined 	 8/4/2023, 2:37:44 PM 
POST 	 /register 	 undefined 	 8/4/2023, 2:39:45 PM 
POST 	 /register 	 undefined 	 8/4/2023, 2:40:57 PM 
POST 	 /register 	 undefined 	 8/4/2023, 2:41:19 PM 
POST 	 /login 	 undefined 	 8/4/2023, 2:45:04 PM 
POST 	 /login 	 undefined 	 8/4/2023, 2:45:14 PM 
POST 	 /login 	 undefined 	 8/4/2023, 2:45:42 PM 
POST 	 /login 	 undefined 	 8/4/2023, 2:46:04 PM 
POST 	 /logout 	 undefined 	 8/4/2023, 3:02:17 PM 
POST 	 /login 	 undefined 	 8/4/2023, 3:02:53 PM 
POST 	 /logout 	 undefined 	 8/4/2023, 3:03:00 PM 
POST 	 /login 	 undefined 	 8/4/2023, 3:03:13 PM 
POST 	 /logout 	 undefined 	 8/4/2023, 3:03:21 PM 
GET 	 /posts 	 undefined 	 8/6/2023, 1:43:48 PM 
GET 	 /posts 	 undefined 	 8/6/2023, 1:44:42 PM 
GET 	 /posts 	 undefined 	 8/6/2023, 1:44:56 PM 
GET 	 /posts 	 undefined 	 8/6/2023, 1:45:15 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 1:57:42 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 1:58:48 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 1:59:42 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 2:00:42 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 2:01:28 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 2:02:17 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 2:02:32 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 2:02:48 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 2:02:52 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 2:03:00 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 2:03:44 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 2:06:15 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 2:06:15 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 2:06:15 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 2:06:15 PM 
POST 	 /posts 	 http://localhost:3500 	 8/6/2023, 2:06:15 PM 
GET 	 /posts 	 undefined 	 8/6/2023, 2:12:05 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 3:34:39 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 3:40:08 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 3:40:13 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 3:40:14 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 3:40:15 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 3:40:15 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 3:40:16 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 9:21:20 PM 
GET 	 /posts/64cf38572caa7aa8aee0de18 	 http://localhost:3000 	 8/6/2023, 9:26:47 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 9:26:52 PM 
GET 	 /posts/64cf38572caa7aa8aee0de18 	 http://localhost:3000 	 8/6/2023, 9:26:54 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 9:27:03 PM 
GET 	 /posts/64cf38572caa7aa8aee0de18 	 http://localhost:3000 	 8/6/2023, 9:28:47 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 9:29:04 PM 
GET 	 /posts/64cf38572caa7aa8aee0de18 	 http://localhost:3000 	 8/6/2023, 9:29:28 PM 
GET 	 /posts/64cf38572caa7aa8aee0de18 	 http://localhost:3000 	 8/6/2023, 9:29:42 PM 
GET 	 /posts/64cf38572caa7aa8aee0de18 	 http://localhost:3000 	 8/6/2023, 9:32:15 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 9:32:21 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 9:36:17 PM 
GET 	 /posts/64cf38572caa7aa8aee0de16 	 http://localhost:3000 	 8/6/2023, 9:36:25 PM 
GET 	 /posts/64cf38572caa7aa8aee0de14 	 http://localhost:3000 	 8/6/2023, 9:37:19 PM 
GET 	 /posts/64cf38572caa7aa8aee0de12 	 http://localhost:3000 	 8/6/2023, 9:37:20 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 10:41:13 PM 
GET 	 /posts/64cf38572caa7aa8aee0de18 	 http://localhost:3000 	 8/6/2023, 10:41:15 PM 
GET 	 /posts 	 http://10.0.254.7:3000 	 8/6/2023, 11:19:24 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:21:16 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:47 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:52 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:52 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:53 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:53 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:53 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:54 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:54 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:54 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:54 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:54 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:54 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:54 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:55 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:55 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:55 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:55 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:27:56 PM 
GET 	 /posts/64cf38572caa7aa8aee0de16 	 http://localhost:3000 	 8/6/2023, 11:28:06 PM 
GET 	 /posts/64cf38572caa7aa8aee0de14 	 http://localhost:3000 	 8/6/2023, 11:28:07 PM 
GET 	 /posts/64cf38572caa7aa8aee0de12 	 http://localhost:3000 	 8/6/2023, 11:28:09 PM 
GET 	 /posts/64cf38572caa7aa8aee0de10 	 http://localhost:3000 	 8/6/2023, 11:28:10 PM 
GET 	 /posts/64cf37c08f7ed63bd1dac162 	 http://localhost:3000 	 8/6/2023, 11:28:11 PM 
GET 	 /posts/64cf38572caa7aa8aee0de18 	 http://localhost:3000 	 8/6/2023, 11:28:13 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:38:42 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:39:34 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:42:35 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:43:55 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:43:55 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:44:05 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:44:09 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:44:56 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:46:27 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:48:07 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:52:04 PM 
GET 	 /posts 	 http://localhost:3000 	 8/6/2023, 11:52:11 PM 
GET 	 /posts/64cf38572caa7aa8aee0de18 	 http://localhost:3000 	 8/6/2023, 11:52:21 PM 
GET 	 /posts/64cf38572caa7aa8aee0de16 	 http://localhost:3000 	 8/6/2023, 11:53:07 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:14:21 AM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:14:21 AM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:15:17 AM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:15:17 AM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:16:29 AM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:16:29 AM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:16:57 AM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:16:57 AM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:17:27 AM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:17:27 AM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:19:18 AM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:19:18 AM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:21:07 AM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:21:07 AM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:21:24 AM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:21:24 AM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:21:41 AM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:21:41 AM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:22:04 AM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:22:04 AM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:22:23 AM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:22:23 AM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:22:48 AM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:22:48 AM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:23:08 AM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:23:08 AM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 12:23:09 AM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 12:24:12 AM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 12:24:51 AM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 12:26:00 AM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 12:31:17 AM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 12:32:12 AM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 9:44:59 AM 
GET 	 /posts/64cf37c08f7ed63bd1dac162 	 http://localhost:3000 	 8/7/2023, 9:45:11 AM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 9:53:05 AM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 9:55:18 AM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 10:02:46 AM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 10:38:21 AM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:36:39 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:36:39 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:39:19 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:39:19 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:39:37 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:39:37 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:41:09 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:41:09 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:41:17 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:41:17 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:41:44 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:41:44 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:41:46 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:42:02 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:42:02 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:42:17 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:42:17 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:43:19 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:43:19 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:44:13 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:44:14 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:44:19 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:44:19 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:44:38 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:44:38 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:45:25 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:45:25 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:45:27 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:45:31 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:45:31 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:45:39 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:45:39 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:45:44 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:45:44 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:46:04 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:46:04 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:46:05 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:46:06 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:46:11 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:46:11 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:46:14 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:46:15 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:47:11 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:47:11 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:47:14 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:47:22 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:47:22 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:47:24 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:47:30 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:47:30 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:47:59 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:47:59 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:48:00 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:48:01 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:48:01 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 12:48:26 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 12:48:26 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 12:48:27 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:08:58 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:09:19 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:14:19 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:14:23 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:18:02 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:26:33 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:37:18 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:37:19 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:37:24 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:37:25 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:37:41 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:37:42 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:37:43 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:38:29 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:38:37 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:38:38 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:39:26 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:39:27 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:39:32 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:40:43 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:40:51 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:40:54 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:40:56 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:41:23 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:41:35 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 1:42:43 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 1:42:43 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:42:46 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:42:59 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 1:43:06 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 1:43:06 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:43:09 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:43:19 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:43:22 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:43:23 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:43:24 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:43:32 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:46:02 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 1:46:09 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 1:46:09 PM 
POST 	 /logout 	 http://localhost:3000 	 8/7/2023, 1:46:13 PM 
GET 	 /posts 	 http://localhost:3000 	 8/7/2023, 1:48:52 PM 
OPTIONS 	 /login 	 http://localhost:3000 	 8/7/2023, 1:50:09 PM 
POST 	 /login 	 http://localhost:3000 	 8/7/2023, 1:50:09 PM 
